layer,sum,avg,max
conv1,3.86220985292e+15,0.15598634678,292.425578909
res2a,3.07347028819e+13,0.317636298855,44.7863793109
res2b,2.8624176715e+13,0.295771383465,67.8840022192
res2c,2.95535945198e+13,0.305114585136,90.3928767454
res3a,141657135078.0,0.374947348537,93.9658449585
res3b,72768366771.4,0.192417995572,107.403292844
res3c,60929135227.6,0.161312376466,136.064144145
res3d,96916937879.3,0.256919267218,202.578648052
res4a,505729501.978,0.342988284123,114.180436683
res4b,240561057.847,0.16329871612,112.798326009
res4c,173194645.745,0.117445726159,124.034053111
res4d,123465771.055,0.0838055790736,138.736445347
res4e,124964074.184,0.0847612233192,163.547004026
res4f,171273092.339,0.116190859353,202.766447317
res5a,116735548.136,20.1590393142,4935.93652644
res5b,411501308.45,71.5166110525,15929.3359382
res5c,2753966554.41,480.021575118,95806.7273029
fc1000,910414.461911,910414.461911,910414.461911
