layer,param
conv1,9472
res2a-1,16384
res2a-2a,4096
res2a-2b,36864
res2a-2c,16384
res2b-2a,16384
res2b-2b,36864
res2b-2c,16384
res2c-2a,16384
res2c-2b,36864
res2c-2c,16384
res3a-1,131072
res3a-2a,32768
res3a-2b,147456
res3a-2c,65536
res3b-2a,65536
res3b-2b,147456
res3b-2c,65536
res3c-2a,65536
res3c-2b,147456
res3c-2c,65536
res3d-2a,65536
res3d-2b,147456
res3d-2c,65536
res4a-1,524288
res4a-2a,131072
res4a-2b,589824
res4a-2c,262144
res4b-2a,262144
res4b-2b,589824
res4b-2c,262144
res4c-2a,262144
res4c-2b,589824
res4c-2c,262144
res4d-2a,262144
res4d-2b,589824
res4d-2c,262144
res4e-2a,262144
res4e-2b,589824
res4e-2c,262144
res4f-2a,262144
res4f-2b,589824
res4f-2c,262144
res5a-1,2097152
res5a-2a,524288
res5a-2b,2359296
res5a-2c,1048576
res5b-2a,1048576
res5b-2b,2359296
res5b-2c,1048576
res5c-2a,1048576
res5c-2b,2359296
res5c-2c,1048576
fc1000,2049000
